IDnr	Word	Length	LemmaFreq	WordFreq
445	ζέον	4	0	0.2
446	ζερό	4	0	0.2
447	ζέση	4	1	0.7
448	ζετέ	4	2	2.4
449	ζεύω	4	0	
450	ζηλώ	4	0	
451	ζήση	4	6	4.1
452	ζήτα	4	1	0.6
453	ζήτω	4	4	4.1
454	ζίνα	4	1	0.8
455	ζόρι	4	7	5.7
456	ζουμ	4	1	0.7
457	ζύγι	4	1	0.4
458	ζύμη	4	1	0.9
459	ζώνη	4	108	56.9
460	ζώνω	4	3	
461	ήθος	4	30	14.2
462	ήλιο	4	43	22.3
463	ήλος	4	12	1
464	ηνίο	4	4	
465	ήπαρ	4	6	2.2
466	ήπια	4	8	7.4
467	ηρώο	4	8	0.2
468	ήτοι	4	17	17.5
469	ήττα	4	74	53.7
470	ήχος	4	56	12
471	θάβω	4	17	0
472	θάμα	4	1	0.1
473	θεία	4	21	16
474	θείο	4	18	10.6
475	θέλω	4	1239	216
476	θέμα	4	1373	863.8
477	θεός	4	106	34.6
478	θέση	4	982	613.6
479	θέτω	4	648	4.1
480	θήκη	4	4	2.3
481	θηλή	4	1	0.2
482	θήρα	4	7	2.4
483	θήτα	4	0	0.1
484	θίγω	4	47	0.4
485	θίνα	4	0	
486	θύμα	4	97	28.6
487	θύρα	4	19	7.6
488	θωρώ	4	1	0.1
489	ίαση	4	1	0.7
490	ιαχή	4	2	0.7
491	ιδέα	4	171	93.6
492	ιδία	4	3	3
493	ίδια	4	487	487.5
494	ιδού	4	17	16.6
495	ιερό	4	44	17.7
496	ιλύς	4	1	0.2
497	ινίο	4	0	0
498	ίσια	4	5	4.6
499	ίσος	4	80	3.2
500	ίσως	4	348	348.2
501	ιτιά	4	1	0.4
502	ίωση	4	2	1.5
503	κάβα	4	1	0.5
504	κάδη	4	0	0.1
505	κάζο	4	1	0.7
506	κάθε	4	1019	1017.9
507	καίω	4	66	0.1
508	κακά	4	55	12.4
509	καλώ	4	272	5.5
510	κάμα	4	1	0.5
511	κανί	4	0	0.2
512	κανό	4	1	0.6
513	κάνω	4	2105	129.6
514	κάπα	4	2	1.4
515	καπό	4	1	0.6
516	κάρα	4	2	0.9
517	καρέ	4	4	3.8
518	καρό	4	1	1.2
519	κάρο	4	3	2.1
520	κάσα	4	1	0.4
521	κασέ	4	2	2.4
522	καστ	4	1	1.3
523	κατά	4	2249	1928.4
524	κάτι	4	571	570.5
525	κατς	4	0	0.4
526	κάτω	4	338	328.5
527	καφέ	4	27	26.4
528	κάψα	4	2	1.3
529	κέικ	4	1	0.9
530	κελί	4	10	5.1
531	κενό	4	76	38.7
532	κερί	4	8	3.6
533	κέφι	4	14	10.2
534	κήλη	4	0	0.2
535	κιλό	4	39	10
536	κινώ	4	283	0.1
537	κιτς	4	2	2.4
538	κλακ	4	0	0
539	κλικ	4	7	7.4
540	κλιπ	4	1	0.8
541	κλου	4	1	0.9
542	κόβω	4	82	0.8
543	κόκα	4	5	4.4
544	κόλα	4	11	10.6
545	κόλο	4	11	
546	κόμη	4	6	3.5
547	κομό	4	0	0.1
548	κοπή	4	6	3.2
549	κόρα	4	7	0.3
550	κόρη	4	55	39.1
551	κόρο	4	7	0.2
552	κόσα	4	0	0.2
553	κότα	4	5	2
554	κουπ	4	0	0.2
555	κόφα	4	0	0.1
556	κόχη	4	0	0.4
557	κόψη	4	2	1.7
558	κρακ	4	0	0.3
559	κραχ	4	3	3.4
560	κρεμ	4	1	0.5
561	κρεπ	4	0	0.2
562	κρύα	4	4	3.5
563	κρύο	4	18	13.9
564	κύμα	4	53	23.3
565	κυρά	4	3	2.4
566	κύων	4	0	0.2
567	κώμα	4	2	1.6
568	κώμη	4	1	0.2
569	λάβα	4	2	1
570	λαβή	4	6	3.3
571	λαδί	4	0	0.3
572	λάδι	4	31	19.4
573	λάκα	4	1	0.4
574	λαλώ	4	1	0.1
575	λάμα	4	3	2.2
576	λαμέ	4	0	0.3
577	λαός	4	282	69.8
578	λάσο	4	2	0.2
579	λάφι	4	0	
580	λέβα	4	1	0.7
581	λέγω	4	3183	3.7
582	λεία	4	6	4.4
583	λέξη	4	157	80.7
584	λέπι	4	0	0
585	λέρα	4	0	0.3
586	λέσι	4	0	0.4
587	λέων	4	8	1.7
588	λήγω	4	54	
589	λήθη	4	3	1.9
590	λήξη	4	77	47.9
591	λήψη	4	75	54.3
592	λίαν	4	5	4.5
593	λίγο	4	474	321.6
594	λιλά	4	0	0.3
595	λίμα	4	3	2.1
596	λίρα	4	13	1.9
597	λιτή	4	4	3.3
598	λόγω	4	411	410.7
599	λόξα	4	0	0.3
600	λότο	4	0	0.1
601	λουξ	4	0	0.4
602	λύμα	4	6	
603	λύνω	4	209	0.4
604	λύπη	4	15	12.3
605	λυπώ	4	1	
606	λύρα	4	4	2.9
607	λύση	4	319	206.4
608	μάζα	4	34	15.2
609	μαζί	4	452	452
610	μαία	4	1	0.2
611	μακό	4	0	0.3
612	μάλη	4	1	0
613	μαμά	4	21	17.4
614	μαμή	4	1	0.3
615	μάνα	4	47	35.4
616	μάπα	4	0	0.3
617	μάρα	4	1	0.9
618	μαρς	4	1	0.6
619	μάτι	4	154	35.9
620	ματς	4	127	125.9
621	μάχη	4	121	82.8
622	μέθη	4	3	1.8
623	μέλι	4	5	4.8
624	μελό	4	2	1.9
625	μένω	4	368	4.6
626	μέρα	4	385	164.8
627	μερί	4	42	0
628	μέσα	4	1108	1085.5
629	μέση	4	106	83.2
630	μέσο	4	1303	100.1
631	μέσω	4	278	278.5
632	μετά	4	1258	1242.7
633	μετρ	4	4	3.7
634	μηδέ	4	2	1.9
635	μήλο	4	12	4
636	μηνώ	4	148	0
637	μηρί	4	0	
638	μήτε	4	5	4.8
639	μίζα	4	6	2.2
640	μίλι	4	16	0.8
641	μίνα	4	1	1
642	μίνι	4	11	10.6
643	μισώ	4	10	1.6
644	μόδα	4	29	12.5
645	μόκα	4	0	0
646	μόλο	4	2	1.6
647	μονή	4	29	14.4
648	μόνο	4	1437	1264.1
649	μόρα	4	0	0.2
650	μορς	4	0	0.2
651	μότο	4	1	0.8
652	μους	4	0	0.4
653	μπακ	4	9	9.4
654	μπαμ	4	3	3.3
655	μπαρ	4	18	17.4
656	μπεζ	4	1	0.8
657	μπιτ	4	2	1.5
658	μπλα	4	1	1.2
659	μπλε	4	20	20
660	μποά	4	0	0.1
661	μπόι	4	4	3.9
662	μπολ	4	2	1.5
663	μποξ	4	2	2.3
664	μπορ	4	0	0.3
665	μπρε	4	0	0.4
666	μύγα	4	5	2.1
667	μύδι	4	1	0.1
668	μύλη	4	0	
669	μύξα	4	0	0.1
670	μύρο	4	1	0.1
671	μύτη	4	15	12.2
672	μωρό	4	18	10.9
673	ναζί	4	7	6.5
674	νάζι	4	1	0.4
675	ναΐφ	4	0	0.4
676	νάμα	4	0	0.1
677	νάνι	4	1	1.2
678	ναός	4	47	9.5
679	νένα	4	1	1.1
680	νενέ	4	0	0
681	νέον	4	151	1.9
682	νέος	4	1983	81.3
683	νερό	4	156	77.6
684	νεύω	4	1	0
685	νήμα	4	11	5.7
686	νησί	4	180	63.4
687	νίβω	4	1	
688	νίκη	4	233	175
689	νίλα	4	0	0.1
690	νομή	4	11	2.6
691	νονά	4	2	1.4
692	νόνα	4	1	0.5
693	νοσώ	4	2	
694	νότα	4	9	4.2
695	νους	4	43	9
696	νοών	4	1	0.7
697	ντιπ	4	1	0.5
698	ντοκ	4	0	0.4
699	ντον	4	4	3.5
700	ντου	4	3	3
701	νύξη	4	3	2
702	νύφη	4	8	5.5
703	νύχι	4	9	0.6
704	νώτα	4	2	2.3
705	ξανά	4	71	70.8
706	ξένη	4	35	24.3
707	ξένο	4	22	21.5
708	ξέρα	4	1	0.5
709	ξερή	4	2	1.3
710	ξέρω	4	547	135.5
711	ξηρά	4	10	4
712	ξίδι	4	1	0.8
713	ξόδι	4	0	0.1
714	ξύλο	4	27	15.9
715	ξύνω	4	4	0
716	όαση	4	3	2.7
717	οβάλ	4	3	2.6
718	οδός	4	149	17.3
719	όζον	4	7	2.4
720	όζος	4	3	
721	οίδα	4	0	0.3
722	οκέι	4	1	1.3
723	οκτώ	4	83	66
724	ολκή	4	1	0
725	όλος	4	2881	19.1
726	όλως	4	3	3.4
727	όμμα	4	0	0
728	ομού	4	1	0.6
729	όμως	4	1903	1903.7
730	όνος	4	1	0.2
731	οξιά	4	1	0.3
732	όξος	4	0	0.1
733	οξύς	4	36	1.7
734	όπερ	4	3	2.8
735	όπιο	4	1	0.8
736	οπλή	4	1	0.1
737	όπλο	4	120	29.9
738	οπός	4	3	
739	όπου	4	755	756.6
740	όπως	4	2127	2129.5
741	οργή	4	23	18.5
742	ορδή	4	1	0.1
743	ορθό	4	24	6.7
744	όριο	4	200	72.4
745	ορμή	4	8	6.1
746	ορός	4	10	0.7
747	όρος	4	346	58
748	όσια	4	1	0.7
749	οσμή	4	4	2.7
750	όσος	4	1403	0.7
751	οστό	4	30	3.6
752	όταν	4	1304	1303.7
753	ότου	4	24	23.6
754	ουδέ	4	1	0.7
755	ούζο	4	3	2
756	ουλή	4	1	0.3
757	ούλο	4	1	
758	ουρά	4	24	14.8
759	ουρί	4	0	0.1
760	ούρο	4	3	
761	ουρώ	4	0	0
762	ούτε	4	689	688.5
763	ούτι	4	1	1
764	ούφο	4	0	0.3
765	ουχί	4	2	1.5
766	όφις	4	4	2.9
767	όχθη	4	20	11.6
768	οχιά	4	1	0.4
769	παζλ	4	4	4
770	παις	4	6	0.1
771	πάκο	4	1	0.8
772	πάλα	4	2	
773	πάλε	4	2	1.8
774	πάλη	4	13	8.6
775	πάλι	4	301	299.3
776	παμπ	4	1	1.3
777	πάνα	4	1	0.6
778	πανί	4	8	4.9
779	πανκ	4	3	2.9
780	πανό	4	9	8.8
781	πάνω	4	521	520.7
782	παπί	4	2	1.1
783	παρά	4	632	425.6
784	πάρα	4	140	140
785	πάσα	4	47	40.8
786	πάσο	4	42	0.9
787	πατέ	4	0	0.4
788	πατώ	4	48	0.4
789	παύω	4	64	0.1
790	πεζή	4	2	1.8
791	πένα	4	5	3
792	πέος	4	1	0.9
793	πέρα	4	192	191.8
794	περί	4	274	273.9
795	πέτο	4	2	0.6
796	πέψη	4	1	0.3
797	πηγή	4	156	57.5
798	πήζω	4	2	0
799	πήξη	4	1	0.4
800	πήχη	4	2	1.3
801	πίκα	4	0	0.1
802	πίνα	4	1	0.5
803	πίνω	4	51	1.5
804	πίπα	4	2	1.3
